URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_244.html,2025.3.20250714,active,"1.2.840.10008.6.1.37",Laterality,,"Transitive closure of CID 244 Laterality","StructureDefinition/ImImagingStudy","SCT,Other"
http://hl7.org/fhir/ValueSet/composition-attestation-mode,5.0.0,draft,"2.16.840.1.113883.4.642.3.233,2.16.840.1.113883.4.642.3.238,2.16.840.1.113883.4.642.2.120",CompositionAttestationMode,Composition Attestation Mode,"The way in which a person authenticated a composition.","StructureDefinition/ImComposition,StructureDefinition/ImKeyImageDocumentReference,StructureDefinition/CompositionEu,StructureDefinition/DocumentReferenceEu,StructureDefinition/Composition-eu-lab","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/composition-status,5.0.0,draft,"2.16.840.1.113883.4.642.2.123,2.16.840.1.113883.4.642.3.236,2.16.840.1.113883.4.642.3.241",CompositionStatus,Composition Status,"The workflow/clinical status of the composition.","StructureDefinition/ImComposition,StructureDefinition/ImKeyImageDocumentReference,StructureDefinition/CompositionEu,StructureDefinition/DocumentReferenceEu,StructureDefinition/Composition-eu-lab","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/condition-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.153,2.16.840.1.113883.4.642.3.162,2.16.840.1.113883.4.642.2.73",ConditionCategoryCodes,Condition Category Codes,"Preferred value set for Condition Categories.","StructureDefinition/ConditionEu","THO"
http://hl7.org/fhir/ValueSet/condition-clinical,5.0.0,draft,"2.16.840.1.113883.4.642.3.155,2.16.840.1.113883.4.642.3.164,2.16.840.1.113883.4.642.2.74",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","StructureDefinition/ConditionEu","THO"
http://hl7.org/fhir/ValueSet/condition-code,5.0.0,draft,"2.16.840.1.113883.4.642.3.161,2.16.840.1.113883.4.642.2.72,2.16.840.1.113883.4.642.3.152",ConditionProblemDiagnosisCodes,Condition/Problem/Diagnosis Codes,"Example value set for Condition/Problem/Diagnosis codes.","StructureDefinition/ProcedureEu,StructureDefinition/ImProcedure,StructureDefinition/ConditionEu","SCT"
http://hl7.org/fhir/ValueSet/condition-severity,5.0.0,draft,"2.16.840.1.113883.4.642.3.168,2.16.840.1.113883.4.642.2.76,2.16.840.1.113883.4.642.3.159",ConditionDiagnosisSeverity,Condition/Diagnosis Severity,"Preferred value set for Condition/Diagnosis severity grading.","StructureDefinition/ConditionEu","SCT"
http://hl7.org/fhir/ValueSet/condition-stage,5.0.0,draft,"2.16.840.1.113883.4.642.3.161,2.16.840.1.113883.4.642.3.170,2.16.840.1.113883.4.642.2.408",ConditionStage,Condition Stage,"Value set for stages of cancer and other conditions.","StructureDefinition/ConditionEu","SCT"
http://hl7.org/fhir/ValueSet/condition-stage-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.171",ConditionStageType,Condition Stage Type,"Example value set for the type of stages of cancer and other conditions","StructureDefinition/ConditionEu","SCT"
http://hl7.org/fhir/ValueSet/condition-ver-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.157,2.16.840.1.113883.4.642.2.75,2.16.840.1.113883.4.642.3.166",ConditionVerificationStatus,Condition Verification Status,"The verification status to support or decline the clinical status of the condition or diagnosis.","StructureDefinition/ConditionEu","THO"
http://hl7.org/fhir/ValueSet/data-absent-reason,5.0.0,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,Data Absent Reason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/Observation-resultslab-eu-lab,StructureDefinition/medicalTestResult-eu-core,StructureDefinition/ObservationEu,StructureDefinition/ImFinding","THO"
http://hl7.org/fhir/ValueSet/device-action,5.0.0,draft,"2.16.840.1.113883.4.642.3.425,2.16.840.1.113883.4.642.2.236,2.16.840.1.113883.4.642.3.416",ProcedureDeviceActionCodes,Procedure Device Action Codes,"Example codes indicating the change that happened to the device during the procedure.  Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/ProcedureEu,StructureDefinition/ImProcedure","SCT"
http://hl7.org/fhir/ValueSet/device-availability-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.3198",FHIRDeviceAvailabilityStatus,FHIR Device Availability Status,"The availability status of the device.","StructureDefinition/ImImagingDevice","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/device-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.3307",FHIRDeviceCategory,FHIR Device Category,"The association state of the device.","StructureDefinition/ImImagingDevice","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/device-nametype,5.0.0,draft,"2.16.840.1.113883.4.642.3.1083",DeviceNameType,Device Name Type,"The type of name the device is referred by.","StructureDefinition/ImImagingDevice","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/device-operation-mode,5.0.0,draft,"2.16.840.1.113883.4.642.3.3309",FHIRDeviceOperationMode,FHIR Device Operation Mode,"The operation mode of the device.","StructureDefinition/ImImagingDevice","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/device-property-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3195",DeviceType,Device Property Type,"Codes used to identify medical devices. Includes concepts from SNOMED CT (http://www.snomed.org/) where concept is-a 49062001 (Device)  and is provided as a suggestive example.","StructureDefinition/ImImagingDevice","SCT,hl7.terminology.r5,Other"
http://hl7.org/fhir/ValueSet/device-safety,5.0.0,draft,"2.16.840.1.113883.4.642.3.213,2.16.840.1.113883.4.642.3.893",DeviceSafety,Device Safety,"Codes used to identify medical devices safety characteristics. These codes are taken from the [NCI Thesaurus](https://ncit.nci.nih.gov/ncitbrowser/pages/home.jsf) and are provided here as a suggestive example.","StructureDefinition/ImImagingDevice","Other"
http://hl7.org/fhir/ValueSet/device-specification-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.3197",DeviceSpecificationCategory,Device Specification Category,"The kind of standards used by the device.","StructureDefinition/ImImagingDevice","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/device-specification-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.3204",DeviceSpecificationType,Device Specification Type,"The type or specification of a standard that devices can adhere to","StructureDefinition/ImImagingDevice","hl7.terminology.r5"
http://hl7.org/fhir/ValueSet/device-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.199,2.16.840.1.113883.4.642.3.209",FHIRDeviceStatus,FHIR Device Status,"The status of the Device record.","StructureDefinition/ImImagingDevice","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/device-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.1376",DeviceType,Device Type,"Codes used to identify medical devices. Includes concepts from SNOMED CT (http://www.snomed.org/) where concept is-a 49062001 (Device)  and is provided as a suggestive example.","StructureDefinition/ProcedureEu,StructureDefinition/ImProcedure","SCT,hl7.terminology.r5,Other"
http://hl7.org/fhir/ValueSet/device-versiontype,5.0.0,draft,"2.16.840.1.113883.4.642.3.3202",DeviceVersionType,Device Version Type,"Describes the type of version","StructureDefinition/ImImagingDevice","hl7.terminology.r5"
http://hl7.org/fhir/ValueSet/diagnostic-report-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.235,2.16.840.1.113883.4.642.2.118,2.16.840.1.113883.4.642.3.230",DiagnosticReportStatus,Diagnostic Report Status,"The status of the diagnostic report.","StructureDefinition/DiagnosticReport-eu-lab,StructureDefinition/ImDiagnosticReport","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/diagnostic-service-sections,5.0.0,draft,"2.16.840.1.113883.4.642.3.234,2.16.840.1.113883.4.642.2.117,2.16.840.1.113883.4.642.3.229",DiagnosticServiceSectionCodes,Diagnostic Service Section Codes,"This value set includes all the codes in HL7 V2 table 0074.","StructureDefinition/DiagnosticReport-eu-lab,StructureDefinition/ImDiagnosticReport","THO (V2)"
http://hl7.org/fhir/ValueSet/doc-section-codes,5.0.0,draft,"2.16.840.1.113883.4.642.3.232,2.16.840.1.113883.4.642.2.119,2.16.840.1.113883.4.642.3.237",DocumentSectionCodes,Document Section Codes,"Document section codes (LOINC codes used in CCDA sections).","StructureDefinition/ImComposition,StructureDefinition/CompositionEu,StructureDefinition/Composition-eu-lab","LOINC"
http://hl7.org/fhir/ValueSet/doc-typecodes,5.0.0,draft,"2.16.840.1.113883.4.642.3.235,2.16.840.1.113883.4.642.2.121,2.16.840.1.113883.4.642.3.240",FHIRDocumentTypeCodes,FHIR Document Type Codes,"FHIR Document Codes - all LOINC codes where scale type = 'DOC'.","StructureDefinition/ImKeyImageDocumentReference,StructureDefinition/CompositionEu,StructureDefinition/DocumentReferenceEu","LOINC"
http://hl7.org/fhir/ValueSet/document-reference-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.7",DocumentReferenceStatus,DocumentReferenceStatus,"The status of the document reference.","StructureDefinition/ImKeyImageDocumentReference,StructureDefinition/DocumentReferenceEu","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/document-relationship-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.244,2.16.840.1.113883.4.642.3.239,2.16.840.1.113883.4.642.2.133",DocumentRelationshipType,Document Relationship Type,"The type of relationship between documents.","StructureDefinition/ImKeyImageDocumentReference,StructureDefinition/DocumentReferenceEu","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/endpoint-connection-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.498,2.16.840.1.113883.4.642.3.491",EndpointConnectionType,Endpoint Connection Type,"This is an example value set defined by the FHIR project, that could be used to represent possible connection type profile values.","StructureDefinition/ImWadoEndpoint,StructureDefinition/ImImageIidViewerEndpoint,StructureDefinition/EndpointEu","THO"
http://hl7.org/fhir/ValueSet/endpoint-environment,5.0.0,draft,"2.16.840.1.113883.4.642.3.3184",EndpointEnvironment,Endpoint Environment,"The environment type of the endpoint.","StructureDefinition/ImWadoEndpoint,StructureDefinition/ImImageIidViewerEndpoint,StructureDefinition/EndpointEu","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/endpoint-payload-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.496,2.16.840.1.113883.4.642.3.489",EndpointPayloadType,Endpoint Payload Type,"This is an example value set defined by the FHIR project, that could be used to represent possible payload document types.","StructureDefinition/ImWadoEndpoint,StructureDefinition/ImImageIidViewerEndpoint,StructureDefinition/EndpointEu","THO"
http://hl7.org/fhir/ValueSet/endpoint-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.487,2.16.840.1.113883.4.642.3.494",EndpointStatus,Endpoint Status,"The status of the endpoint.","StructureDefinition/ImWadoEndpoint,StructureDefinition/ImImageIidViewerEndpoint,StructureDefinition/EndpointEu","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/event-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.109",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","StructureDefinition/ProcedureEu,StructureDefinition/ImProcedure","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/identifier-type,5.0.0,active,"2.16.840.1.113883.4.642.3.45",IdentifierTypeCodes,Identifier Type Codes,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/ImKeyImageDocumentReference,StructureDefinition/im-study-instance-uid-identifier,StructureDefinition/im-accession-number-identifier,StructureDefinition/ImFinding","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,5.0.0,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/ImKeyImageDocumentReference,StructureDefinition/im-study-instance-uid-identifier,StructureDefinition/im-accession-number-identifier,StructureDefinition/ImFinding","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/imagingselection-2dgraphictype,5.0.0,draft,"2.16.840.1.113883.4.642.3.3095",ImagingSelection2DGraphicType,Imaging Selection2 D Graphic Type,"The type of 2D coordinates describing a 2D image region.","StructureDefinition/ImImagingSelection,StructureDefinition/ImKeyImageImagingSelection","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/imagingselection-3dgraphictype,5.0.0,draft,"2.16.840.1.113883.4.642.3.3097",ImagingSelection3DGraphicType,Imaging Selection3 D Graphic Type,"The type of coordinates describing a 3D image region.","StructureDefinition/ImImagingSelection,StructureDefinition/ImKeyImageImagingSelection","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/imagingselection-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.3096",ImagingSelectionStatus,Imaging Selection Status,"The status of the ImagingSelection.","StructureDefinition/ImImagingSelection,StructureDefinition/ImKeyImageImagingSelection","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/imagingstudy-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.990",ImagingStudyStatus,Imaging Study Status,"The status of the ImagingStudy.","StructureDefinition/ImImagingStudy","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/languages,5.0.0,active,"2.16.840.1.113883.4.642.3.891,2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/ImComposition,StructureDefinition/location-eu-core,StructureDefinition/ImKeyImageDocumentReference,StructureDefinition/ImProcedure,StructureDefinition/CompositionEu,StructureDefinition/ImImagingStudy,StructureDefinition/CarePlanEu,StructureDefinition/EndpointEu,StructureDefinition/Substance-additive-eu-lab,StructureDefinition/ImImagingSelection,StructureDefinition/ImKeyImageImagingSelection,StructureDefinition/ImOrder,StructureDefinition/ImImageIidViewerEndpoint,StructureDefinition/Specimen-eu-lab,StructureDefinition/DiagnosticReport-eu-lab,StructureDefinition/ConditionEu,StructureDefinition/ImImagingDevice,StructureDefinition/ImFinding,StructureDefinition/ImDiagnosticReport,StructureDefinition/ProcedureEu,StructureDefinition/ImWadoEndpoint,StructureDefinition/DocumentReferenceEu,StructureDefinition/Observation-resultslab-eu-lab,StructureDefinition/ServiceRequest-eu-lab,StructureDefinition/medicalTestResult-eu-core,StructureDefinition/ObservationEu,StructureDefinition/Composition-eu-lab","hl7.terminology.r5"
http://hl7.org/fhir/ValueSet/list-empty-reason,5.0.0,draft,"2.16.840.1.113883.4.642.3.322,2.16.840.1.113883.4.642.3.313,2.16.840.1.113883.4.642.2.176",ListEmptyReasons,List Empty Reasons,"General reasons for a list to be empty. Reasons are either related to a summary list (i.e. problem or medication list) or to a workflow related list (i.e. consultation list).","StructureDefinition/CompositionEu,StructureDefinition/Composition-eu-lab","THO"
http://hl7.org/fhir/ValueSet/list-order,5.0.0,draft,"2.16.840.1.113883.4.642.3.315,2.16.840.1.113883.4.642.3.324,2.16.840.1.113883.4.642.2.177",ListOrderCodes,List Order Codes,"Base values for the order of the items in a list resource.","StructureDefinition/ImComposition,StructureDefinition/CompositionEu,StructureDefinition/Composition-eu-lab","THO"
http://hl7.org/fhir/ValueSet/location-characteristic,5.0.0,draft,"2.16.840.1.113883.4.642.3.3079",LocationCharacteristic,Location Characteristic,"Example Set of Location Characteristics","StructureDefinition/location-eu-core","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/location-form,5.0.0,draft,"2.16.840.1.113883.4.642.3.328",LocationForm,Location Form,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.","StructureDefinition/location-eu-core","THO"
http://hl7.org/fhir/ValueSet/location-mode,5.0.0,draft,"2.16.840.1.113883.4.642.3.321,2.16.840.1.113883.4.642.2.181,2.16.840.1.113883.4.642.3.330",LocationMode,Location Mode,"Indicates whether a resource instance represents a specific location or a class of locations.","StructureDefinition/location-eu-core","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/location-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.323,2.16.840.1.113883.4.642.3.332,2.16.840.1.113883.4.642.2.182",LocationStatus,Location Status,"Indicates whether the location is still in use.","StructureDefinition/location-eu-core","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/medication-as-needed-reason,5.0.0,draft,"2.16.840.1.113883.4.642.3.89,2.16.840.1.113883.4.642.3.96",SNOMEDCTMedicationAsNeededReasonCodes,SNOMED CT Medication As Needed Reason Codes,"This value set includes all clinical findings from SNOMED CT - provided as an exemplar value set.","StructureDefinition/ImOrder,StructureDefinition/ServiceRequest-eu-lab","SCT"
http://hl7.org/fhir/ValueSet/mimetypes,5.0.0,active,"2.16.840.1.113883.4.642.3.1024",MimeTypes,Mime Types,"This value set includes all possible codes from BCP-13 (see http://tools.ietf.org/html/bcp13)","StructureDefinition/ImWadoEndpoint,StructureDefinition/ImKeyImageDocumentReference,StructureDefinition/ImImageIidViewerEndpoint,StructureDefinition/EndpointEu","Other"
http://hl7.org/fhir/ValueSet/observation-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.403,2.16.840.1.113883.4.642.2.222,2.16.840.1.113883.4.642.3.392",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","StructureDefinition/Observation-resultslab-eu-lab,StructureDefinition/medicalTestResult-eu-core,StructureDefinition/ObservationEu,StructureDefinition/ImFinding","THO"
http://hl7.org/fhir/ValueSet/observation-codes,5.0.0,draft,"2.16.840.1.113883.4.642.2.216,2.16.840.1.113883.4.642.3.396,2.16.840.1.113883.4.642.3.383",LOINCCodes,LOINC Codes,"This value set includes all LOINC codes","StructureDefinition/ObservationEu,StructureDefinition/ImFinding","LOINC"
http://hl7.org/fhir/ValueSet/observation-interpretation,5.0.0,active,"2.16.840.1.113883.4.642.3.399,2.16.840.1.113883.4.642.3.386,2.16.840.1.113883.4.642.2.218",ObservationInterpretationCodes,Observation Interpretation Codes,"A categorical assessment, providing a rough qualitative interpretation of the observation value,    such as “normal”/ “abnormal”,”low” / “high”, “better” / “worse”, “susceptible” / “resistant”, “expected”/ “not expected”.    The value set is intended to be for ANY use where coded representation of an interpretation is needed.             Notes:          This is being communicated in v2.x in OBX-8 (Observation Interpretation), in v3 in ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR in    Observation.interpretation. Historically these values come from the laboratory domain, and these codes are extensively    used. The value set binding is extensible, so codes outside the value set that are needed for interpretation concepts    (i.e. particular meanings) that are not included in the value set can be used, and these new codes may also be added to    the value set and published in a future version.","StructureDefinition/Observation-resultslab-eu-lab,StructureDefinition/medicalTestResult-eu-core,StructureDefinition/ObservationEu,StructureDefinition/ImFinding","THO (V3)"
http://hl7.org/fhir/ValueSet/observation-methods,5.0.0,draft,"2.16.840.1.113883.4.642.2.215,2.16.840.1.113883.4.642.3.395,2.16.840.1.113883.4.642.3.382",ObservationMethods,Observation Methods,"Observation Method codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 272394005 (Technique (qualifier value)) or is-a 129264002 (Action (qualifier value)) or is-a 386053000 (Evaluation procedure(procedure))","StructureDefinition/medicalTestResult-eu-core,StructureDefinition/ObservationEu,StructureDefinition/ImFinding","SCT"
http://hl7.org/fhir/ValueSet/observation-referencerange-normalvalue,5.0.0,draft,"2.16.840.1.113883.4.642.3.3264",ObservationReferenceRangeNormalValueCodes,Observation Reference Range Normal Value Codes,"Codes that describe the normal value in the reference range, such as “Negative” or “Absent”","StructureDefinition/Observation-resultslab-eu-lab,StructureDefinition/medicalTestResult-eu-core,StructureDefinition/ObservationEu,StructureDefinition/ImFinding","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/observation-status,5.0.0,active,"2.16.840.1.113883.4.642.3.400,2.16.840.1.113883.4.642.3.387,2.16.840.1.113883.4.642.2.219",ObservationStatus,Observation Status,"Codes providing the status of an observation.","StructureDefinition/Observation-resultslab-eu-lab,StructureDefinition/medicalTestResult-eu-core,StructureDefinition/ObservationEu,StructureDefinition/ImFinding","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/observation-triggeredbytype,5.0.0,active,"2.16.840.1.113883.4.642.3.3265",TriggeredBytype,triggered Bytype,"Codes providing the type of triggeredBy observation.","StructureDefinition/Observation-resultslab-eu-lab,StructureDefinition/medicalTestResult-eu-core,StructureDefinition/ObservationEu,StructureDefinition/ImFinding","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/participant-role,5.0.0,draft,"2.16.840.1.113883.4.642.2.61,2.16.840.1.113883.4.642.3.143,2.16.840.1.113883.4.642.3.152",ParticipantRoles,Participant Roles,"Roles of participants that may be included in a care team.  Defined as: Healthcare professional (occupation) or Services (qualifier value).","StructureDefinition/ImOrder,StructureDefinition/ServiceRequest-eu-lab","SCT"
http://hl7.org/fhir/ValueSet/participation-role-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.54",ParticipationRoleType,Participation Role Type,"This FHIR value set is comprised of Actor participation Type codes, which can be used to value FHIR agents, actors, and other role elements. The codes are intended to express how the agent participated in some activity. Sometimes refered to the agent functional-role relative to the activity.","StructureDefinition/ConditionEu","THO,DICOM"
http://hl7.org/fhir/ValueSet/performer-role,5.0.0,draft,"2.16.840.1.113883.4.642.3.433,2.16.840.1.113883.4.642.2.420,2.16.840.1.113883.4.642.3.424",ProcedurePerformerRoleCodes,Procedure Performer Role Codes,"This example value set defines the set of codes that can be used to indicate a role of a procedure performer.","StructureDefinition/ProcedureEu,StructureDefinition/ImProcedure","SCT"
http://hl7.org/fhir/ValueSet/procedure-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.421,2.16.840.1.113883.4.642.3.430,2.16.840.1.113883.4.642.2.241",ProcedureCategoryCodesSNOMEDCT,Procedure Category Codes (SNOMED CT),"Procedure Category code: A selection of relevant SNOMED CT codes.","StructureDefinition/ProcedureEu,StructureDefinition/ImProcedure","SCT"
http://hl7.org/fhir/ValueSet/procedure-code,5.0.0,draft,"2.16.840.1.113883.4.642.3.418,2.16.840.1.113883.4.642.3.427,2.16.840.1.113883.4.642.2.417",ProcedureCodesSNOMEDCT,Procedure Codes (SNOMED CT),"Procedure Code: All SNOMED CT procedure codes.","StructureDefinition/ProcedureEu,StructureDefinition/ImOrder","SCT"
http://hl7.org/fhir/ValueSet/procedure-followup,5.0.0,draft,"2.16.840.1.113883.4.642.3.420,2.16.840.1.113883.4.642.3.429,2.16.840.1.113883.4.642.2.240",ProcedureFollowUpCodesSNOMEDCT,Procedure Follow up Codes (SNOMED CT),"Procedure follow up codes: A selection of SNOMED CT codes relevant to procedure follow up.","StructureDefinition/ProcedureEu,StructureDefinition/ImProcedure","SCT"
